Código,Município,Estado,Fem - 50 a 69,% Fem - 50 a 69,Total,DRS
352920,MARTINOPOLIS,SP,3087,"24,39%",753,DRS 11
352930,MATAO,SP,10214,"24,08%",2460,DRS 3
352940,MAUA,SP,50349,"20,53%",10337,DRS 1
352950,MENDONCA,SP,602,"21,93%",133,DRS 15
352960,MERIDIANO,SP,498,"24,83%",124,DRS 15
352965,MESOPOLIS,SP,222,"23,90%",54,DRS 15
352970,MIGUELOPOLIS,SP,2254,"20,15%",455,DRS 8
352980,MINEIROS DO TIETE,SP,1504,"22,98%",346,DRS 6
352990,MIRACATU,SP,1952,"20,08%",392,DRS 12
353000,MIRA ESTRELA,SP,432,"26,85%",116,DRS 15
353010,MIRANDOPOLIS,SP,3381,"25,74%",871,DRS 2
353020,MIRANTE DO PARANAPANEMA,SP,2171,"24,09%",523,DRS 11
353030,MIRASSOL,SP,7483,"24,24%",1814,DRS 15
353040,MIRASSOLANDIA,SP,595,"24,78%",148,DRS 15
353050,MOCOCA,SP,8410,"24,21%",2037,DRS 14
353060,MOGI DAS CRUZES,SP,49459,"21,14%",10456,DRS 1
353070,MOGI GUACU,SP,17771,"22,83%",4058,DRS 14
353080,MOGI MIRIM,SP,11610,"24,20%",2810,DRS 14
353090,MOMBUCA,SP,367,"21,19%",78,DRS 10
353100,MONCOES,SP,316,"29,59%",94,DRS 15
353110,MONGAGUA,SP,7598,"25,47%",1936,DRS 4
353120,MONTE ALEGRE DO SUL,SP,1019,"24,87%",254,DRS 7
353130,MONTE ALTO,SP,6419,"24,67%",1584,DRS 13
353140,MONTE APRAZIVEL,SP,2853,"22,50%",642,DRS 15
353150,MONTE AZUL PAULISTA,SP,2360,"24,85%",587,DRS 5
353160,MONTE CASTELO,SP,566,"26,69%",152,DRS 11
353170,MONTEIRO LOBATO,SP,535,"24,30%",131,DRS 17
353180,MONTE MOR,SP,5811,"18,87%",1097,DRS 7
353190,MORRO AGUDO,SP,2923,"17,90%",524,DRS 8
353200,MORUNGABA,SP,1436,"20,69%",298,DRS 7
353205,MOTUCA,SP,571,"23,35%",134,DRS 3
353210,MURUTINGA DO SUL,SP,627,"27,78%",175,DRS 2
353215,NANTES,SP,306,"19,15%",59,DRS 11
353220,NARANDIBA,SP,487,"20,25%",99,DRS 11
353230,NATIVIDADE DA SERRA,SP,806,"25,89%",209,DRS 17
353240,NAZARE PAULISTA,SP,2137,"23,46%",502,DRS 7
353250,NEVES PAULISTA,SP,1265,"28,02%",355,DRS 15
353260,NHANDEARA,SP,1586,"27,42%",435,DRS 15
353270,NIPOA,SP,428,"17,63%",76,DRS 15
353280,NOVA ALIANCA,SP,812,"22,75%",185,DRS 15
353282,NOVA CAMPINA,SP,844,"17,05%",144,DRS 16
353284,NOVA CANAA PAULISTA,SP,262,"29,60%",78,DRS 15
353286,NOVA CASTILHO,SP,150,"21,65%",33,DRS 2
353290,NOVA EUROPA,SP,1091,"18,85%",206,DRS 3
353300,NOVA GRANADA,SP,2300,"21,42%",493,DRS 15
353310,NOVA GUATAPORANGA,SP,322,"27,81%",90,DRS 11
353320,NOVA INDEPENDENCIA,SP,310,"14,99%",47,DRS 2
353325,NOVAIS,SP,323,"12,15%",40,DRS 15
353330,NOVA LUZITANIA,SP,400,"20,64%",83,DRS 2
353340,NOVA ODESSA,SP,6951,"22,48%",1563,DRS 7
353350,NOVO HORIZONTE,SP,4739,"23,04%",1092,DRS 15
353360,NUPORANGA,SP,882,"23,35%",206,DRS 8
353370,OCAUCU,SP,476,"22,65%",108,DRS 9
353380,OLEO,SP,354,"28,92%",103,DRS 9
353390,OLIMPIA,SP,6385,"22,85%",1459,DRS 5
353400,ONDA VERDE,SP,470,"22,13%",105,DRS 15
353410,ORIENTE,SP,840,"25,07%",211,DRS 9
353420,ORINDIUVA,SP,586,"16,29%",96,DRS 15
353430,ORLANDIA,SP,5093,"22,34%",1138,DRS 8
353440,OSASCO,SP,78660,"21,52%",16928,DRS 1
353450,OSCAR BRESSANE,SP,398,"28,84%",115,DRS 9
353460,OSVALDO CRUZ,SP,4305,"26,92%",1159,DRS 9
353470,OURINHOS,SP,13899,"23,45%",3260,DRS 9
353475,OUROESTE,SP,1152,"21,57%",249,DRS 15
353480,OURO VERDE,SP,978,"22,45%",220,DRS 11
353490,PACAEMBU,SP,1479,"27,53%",408,DRS 9
353500,PALESTINA,SP,1388,"21,78%",303,DRS 15
353510,PALMARES PAULISTA,SP,900,"15,01%",136,DRS 15
353520,PALMEIRA D'OESTE,SP,1293,"28,09%",364,DRS 15
353530,PALMITAL,SP,2843,"24,86%",707,DRS 9
353540,PANORAMA,SP,1620,"20,23%",328,DRS 11
353550,PARAGUACU PAULISTA,SP,5085,"22,75%",1157,DRS 9
353560,PARAIBUNA,SP,2059,"22,95%",473,DRS 17
353570,PARAISO,SP,720,"22,57%",163,DRS 15
353580,PARANAPANEMA,SP,1995,"19,49%",389,DRS 6
353590,PARANAPUA,SP,472,"23,79%",113,DRS 15
353600,PARAPUA,SP,1342,"25,34%",341,DRS 9
353610,PARDINHO,SP,705,"21,61%",153,DRS 6
353620,PARIQUERA-ACU,SP,2117,"21,03%",446,DRS 12
353625,PARISI,SP,283,"26,82%",76,DRS 15
353630,PATROCINIO PAULISTA,SP,1554,"21,15%",329,DRS 8
353640,PAULICEIA,SP,753,"20,89%",158,DRS 11
353650,PAULINIA,SP,11150,"19,28%",2150,DRS 7
353657,PAULISTANIA,SP,193,"21,56%",42,DRS 6
353660,PAULO DE FARIA,SP,1006,"22,63%",228,DRS 15
353670,PEDERNEIRAS,SP,4774,"20,30%",970,DRS 6
353680,PEDRA BELA,SP,646,"22,05%",143,DRS 7
353690,PEDRANOPOLIS,SP,322,"26,90%",87,DRS 15
353700,PEDREGULHO,SP,1708,"20,66%",353,DRS 8
353710,PEDREIRA,SP,5418,"22,08%",1197,DRS 7
353715,PEDRINHAS PAULISTA,SP,440,"27,53%",122,DRS 9
353720,PEDRO DE TOLEDO,SP,1153,"20,41%",236,DRS 12
353730,PENAPOLIS,SP,8037,"24,74%",1989,DRS 2
353740,PEREIRA BARRETO,SP,3104,"24,03%",746,DRS 2
353750,PEREIRAS,SP,913,"20,76%",190,DRS 6
353760,PERUIBE,SP,8724,"24,24%",2115,DRS 4
353770,PIACATU,SP,650,"21,67%",141,DRS 2
353780,PIEDADE,SP,6274,"22,54%",1415,DRS 16
353790,PILAR DO SUL,SP,3219,"22,04%",710,DRS 16
353800,PINDAMONHANGABA,SP,19025,"21,69%",4127,DRS 17
353810,PINDORAMA,SP,1890,"22,58%",427,DRS 15
353820,PINHALZINHO,SP,1942,"24,84%",483,DRS 7
353830,PIQUEROBI,SP,485,"25,78%",126,DRS 11
353850,PIQUETE,SP,1830,"26,37%",483,DRS 17
353860,PIRACAIA,SP,3287,"23,60%",776,DRS 7
353870,PIRACICABA,SP,46615,"22,24%",10368,DRS 10
353880,PIRAJU,SP,3847,"24,93%",960,DRS 6
353890,PIRAJUI,SP,2790,"24,57%",686,DRS 6
353900,PIRANGI,SP,1412,"24,85%",351,DRS 15
353910,PIRAPORA DO BOM JESUS,SP,1662,"16,95%",282,DRS 1
353920,PIRAPOZINHO,SP,3331,"23,57%",786,DRS 11
353930,PIRASSUNUNGA,SP,9382,"23,82%",2235,DRS 10
353940,PIRATININGA,SP,1660,"23,45%",390,DRS 6
353950,PITANGUEIRAS,SP,3459,"17,47%",605,DRS 13
353960,PLANALTO,SP,504,"19,83%",100,DRS 15
353970,PLATINA,SP,354,"20,52%",73,DRS 9
353980,POA,SP,12937,"20,90%",2704,DRS 1
353990,POLONI,SP,623,"20,49%",128,DRS 15
354000,POMPEIA,SP,2703,"23,71%",641,DRS 9
354010,PONGAI,SP,482,"29,39%",142,DRS 6
354020,PONTAL,SP,3375,"14,41%",487,DRS 13
354025,PONTALINDA,SP,463,"21,02%",98,DRS 15
354030,PONTES GESTAL,SP,310,"24,88%",78,DRS 15
354040,POPULINA,SP,535,"26,32%",141,DRS 15
354050,PORANGABA,SP,1259,"25,07%",316,DRS 6
354060,PORTO FELIZ,SP,5815,"21,95%",1277,DRS 16
354070,PORTO FERREIRA,SP,6425,"22,47%",1444,DRS 3
354075,POTIM,SP,1797,"18,29%",329,DRS 17
354080,POTIRENDABA,SP,2015,"23,21%",468,DRS 15
354085,PRACINHA,SP,112,"19,75%",23,DRS 9
354090,PRADOPOLIS,SP,2037,"18,96%",387,DRS 13
354100,PRAIA GRANDE,SP,39488,"22,49%",8881,DRS 4
354105,PRATANIA,SP,457,"17,46%",80,DRS 6
354110,PRESIDENTE ALVES,SP,486,"23,21%",113,DRS 6
354120,PRESIDENTE BERNARDES,SP,1916,"27,89%",535,DRS 11
354130,PRESIDENTE EPITACIO,SP,5330,"23,28%",1241,DRS 11
354140,PRESIDENTE PRUDENTE,SP,29683,"24,71%",7335,DRS 11
354150,PRESIDENTE VENCESLAU,SP,5223,"26,42%",1380,DRS 11
354160,PROMISSAO,SP,4292,"20,77%",892,DRS 6
354165,QUADRA,SP,392,"21,50%",85,DRS 16
354170,QUATA,SP,1501,"21,23%",319,DRS 11
354180,QUEIROZ,SP,284,"16,77%",48,DRS 9
354190,QUELUZ,SP,1204,"18,60%",224,DRS 17
354200,QUINTANA,SP,769,"22,28%",172,DRS 9
354210,RAFARD,SP,989,"21,26%",211,DRS 10
354220,RANCHARIA,SP,3752,"24,80%",931,DRS 11
354230,REDENCAO DA SERRA,SP,404,"21,46%",87,DRS 17
354240,REGENTE FEIJO,SP,2532,"24,55%",622,DRS 11
354250,REGINOPOLIS,SP,605,"22,02%",134,DRS 6
354260,REGISTRO,SP,6357,"21,97%",1397,DRS 12
354270,RESTINGA,SP,723,"18,51%",134,DRS 8
354280,RIBEIRA,SP,335,"20,96%",71,DRS 16
354290,RIBEIRAO BONITO,SP,1287,"19,37%",250,DRS 3
354300,RIBEIRAO BRANCO,SP,1444,"18,51%",268,DRS 16
354310,RIBEIRAO CORRENTE,SP,417,"18,08%",76,DRS 8
354320,RIBEIRAO DO SUL,SP,557,"24,37%",136,DRS 9
354323,RIBEIRAO DOS INDIOS,SP,324,"28,20%",92,DRS 11
354325,RIBEIRAO GRANDE,SP,764,"20,41%",156,DRS 16
354330,RIBEIRAO PIRES,SP,15141,"23,64%",3580,DRS 1
354340,RIBEIRAO PRETO,SP,81488,"21,91%",17855,DRS 13
354350,RIVERSUL,SP,671,"24,76%",167,DRS 16
354360,RIFAINA,SP,484,"26,12%",127,DRS 8
354370,RINCAO,SP,1096,"20,52%",225,DRS 3
354380,RINOPOLIS,SP,1214,"24,82%",302,DRS 9
354390,RIO CLARO,SP,24153,"22,54%",5445,DRS 10
354400,RIO DAS PEDRAS,SP,3282,"18,40%",604,DRS 10
354410,RIO GRANDE DA SERRA,SP,4922,"18,90%",931,DRS 1
354420,RIOLANDIA,SP,980,"17,76%",175,DRS 15
354425,ROSANA,SP,2234,"27,23%",609,DRS 11
354430,ROSEIRA,SP,1176,"21,71%",256,DRS 17
354440,RUBIACEA,SP,310,"20,22%",63,DRS 2
354450,RUBINEIA,SP,487,"30,84%",151,DRS 15
354460,SABINO,SP,690,"24,86%",172,DRS 6
354470,SAGRES,SP,292,"23,90%",70,DRS 9
354480,SALES,SP,825,"26,37%",218,DRS 15
354490,SALES OLIVEIRA,SP,1419,"23,13%",329,DRS 8
354500,SALESOPOLIS,SP,1828,"21,53%",394,DRS 1
354510,SALMOURAO,SP,547,"21,43%",118,DRS 9
354515,SALTINHO,SP,978,"22,84%",224,DRS 10
354520,SALTO,SP,14128,"23,03%",3254,DRS 16
354530,SALTO DE PIRAPORA,SP,5117,"22,12%",1132,DRS 16
354540,SALTO GRANDE,SP,1111,"23,43%",261,DRS 9
354550,SANDOVALINA,SP,446,"21,31%",96,DRS 11
354560,SANTA ADELIA,SP,1749,"22,42%",393,DRS 15
354570,SANTA ALBERTINA,SP,731,"25,22%",185,DRS 15
354580,SANTA BARBARA D'OESTE,SP,24334,"24,66%",6001,DRS 7
354600,SANTA BRANCA,SP,1793,"23,91%",429,DRS 17
354610,SANTA CLARA D'OESTE,SP,283,"28,44%",81,DRS 15
354620,SANTA CRUZ DA CONCEICAO,SP,580,"24,77%",144,DRS 10
354625,SANTA CRUZ DA ESPERANCA,SP,254,"22,84%",59,DRS 13
354630,SANTA CRUZ DAS PALMEIRAS,SP,3240,"19,02%",617,DRS 14
354640,SANTA CRUZ DO RIO PARDO,SP,5587,"22,75%",1272,DRS 9
354650,SANTA ERNESTINA,SP,573,"19,97%",115,DRS 3
354660,SANTA FE DO SUL,SP,4340,"25,69%",1115,DRS 15
354670,SANTA GERTRUDES,SP,2149,"15,71%",338,DRS 10
354680,SANTA ISABEL,SP,6442,"22,01%",1418,DRS 1
354690,SANTA LUCIA,SP,846,"18,67%",158,DRS 3
354700,SANTA MARIA DA SERRA,SP,596,"19,04%",114,DRS 10
354710,SANTA MERCEDES,SP,322,"22,38%",73,DRS 11
354720,SANTANA DA PONTE PENSA,SP,212,"30,72%",66,DRS 15
354730,SANTANA DE PARNAIBA,SP,15080,"20,44%",3083,DRS 1
354740,SANTA RITA D'OESTE,SP,363,"28,99%",106,DRS 15
354750,SANTA RITA DO PASSA QUATRO,SP,3765,"26,51%",999,DRS 13
354760,SANTA ROSA DE VITERBO,SP,3136,"23,09%",725,DRS 13
354765,SANTA SALETE,SP,197,"26,55%",53,DRS 15
354770,SANTO ANASTACIO,SP,2770,"26,20%",726,DRS 11
354780,SANTO ANDRE,SP,90038,"23,92%",21538,DRS 1
354790,SANTO ANTONIO DA ALEGRIA,SP,779,"23,14%",181,DRS 13
354800,SANTO ANTONIO DE POSSE,SP,2329,"20,06%",468,DRS 7
354805,SANTO ANTONIO DO ARACANGUA,SP,994,"23,43%",233,DRS 2
354810,SANTO ANTONIO DO JARDIM,SP,720,"24,74%",179,DRS 14
354820,SANTO ANTONIO DO PINHAL,SP,809,"23,67%",192,DRS 17
354830,SANTO EXPEDITO,SP,425,"26,71%",114,DRS 11
354840,SANTOPOLIS DO AGUAPEI,SP,449,"18,82%",85,DRS 2
354850,SANTOS,SP,62853,"26,70%",16782,DRS 4
354860,SAO BENTO DO SAPUCAI,SP,1363,"25,39%",347,DRS 17
354870,SAO BERNARDO DO CAMPO,SP,99073,"22,54%",22332,DRS 1
354880,SAO CAETANO DO SUL,SP,23539,"26,74%",6295,DRS 1
354890,SAO CARLOS,SP,30224,"23,08%",6976,DRS 3
354900,SAO FRANCISCO,SP,366,"26,60%",98,DRS 15
354910,SAO JOAO DA BOA VISTA,SP,12164,"25,47%",3099,DRS 14
354920,SAO JOAO DAS DUAS PONTES,SP,327,"25,21%",83,DRS 15
354925,SAO JOAO DE IRACEMA,SP,253,"25,90%",66,DRS 15
354930,SAO JOAO DO PAU D'ALHO,SP,273,"26,79%",74,DRS 11
354940,SAO JOAQUIM DA BARRA,SP,5789,"21,57%",1249,DRS 8
354950,SAO JOSE DA BELA VISTA,SP,760,"17,70%",135,DRS 8
354960,SAO JOSE DO BARREIRO,SP,465,"22,05%",103,DRS 17
354970,SAO JOSE DO RIO PARDO,SP,7104,"25,28%",1796,DRS 14
354980,SAO JOSE DO RIO PRETO,SP,59244,"24,36%",14432,DRS 15
354990,SAO JOSE DOS CAMPOS,SP,82832,"22,02%",18240,DRS 17
354995,SAO LOURENCO DA SERRA,SP,1796,"22,57%",406,DRS 1
355000,SAO LUIS DO PARAITINGA,SP,1237,"23,63%",293,DRS 17
355010,SAO MANUEL,SP,4676,"22,11%",1034,DRS 6
355020,SAO MIGUEL ARCANJO,SP,3416,"21,13%",722,DRS 16
355030,SAO PAULO,SP,1427196,"21,92%",312842,DRS 1
355040,SAO PEDRO,SP,4493,"24,16%",1086,DRS 10
355050,SAO PEDRO DO TURVO,SP,774,"20,72%",161,DRS 9
355060,SAO ROQUE,SP,11184,"23,55%",2634,DRS 16
355070,SAO SEBASTIAO,SP,8492,"18,40%",1563,DRS 17
355080,SAO SEBASTIAO DA GRAMA,SP,1353,"22,94%",311,DRS 14
355090,SAO SIMAO,SP,1768,"22,49%",398,DRS 13
355100,SAO VICENTE,SP,42122,"21,77%",9170,DRS 4
355110,SARAPUI,SP,1032,"20,07%",208,DRS 16
355120,SARUTAIA,SP,418,"23,17%",97,DRS 6
355130,SEBASTIANOPOLIS DO SUL,SP,409,"22,77%",94,DRS 15
355140,SERRA AZUL,SP,866,"19,67%",171,DRS 13
355150,SERRANA,SP,4147,"18,09%",751,DRS 13
355160,SERRA NEGRA,SP,3988,"26,14%",1043,DRS 7
355170,SERTAOZINHO,SP,13232,"20,46%",2708,DRS 13
355180,SETE BARRAS,SP,1284,"20,54%",264,DRS 12
355190,SEVERINIA,SP,1654,"19,36%",321,DRS 5
355200,SILVEIRAS,SP,674,"21,51%",145,DRS 17
355210,SOCORRO,SP,5170,"24,79%",1282,DRS 7
355220,SOROCABA,SP,77290,"21,82%",16865,DRS 16
355230,SUD MENNUCCI,SP,884,"22,86%",203,DRS 2
355240,SUMARE,SP,28753,"19,69%",5662,DRS 7
355250,SUZANO,SP,31806,"20,54%",6533,DRS 1
355255,SUZANAPOLIS,SP,458,"23,95%",110,DRS 2
355260,TABAPUA,SP,1476,"23,93%",354,DRS 15
355270,TABATINGA,SP,1694,"21,32%",362,DRS 3
355280,TABOAO DA SERRA,SP,30755,"19,77%",6081,DRS 1
355290,TACIBA,SP,720,"22,89%",165,DRS 11
355300,TAGUAI,SP,1212,"16,63%",202,DRS 6
355310,TAIACU,SP,683,"21,91%",150,DRS 5
355320,TAIUVA,SP,734,"26,09%",192,DRS 5
355330,TAMBAU,SP,2641,"22,57%",597,DRS 14
355340,TANABI,SP,3242,"25,24%",819,DRS 15
355350,TAPIRAI,SP,789,"20,32%",161,DRS 16
355360,TAPIRATIBA,SP,1709,"26,29%",450,DRS 14
355365,TAQUARAL,SP,355,"25,16%",90,DRS 5
355370,TAQUARITINGA,SP,6857,"23,24%",1594,DRS 3
355380,TAQUARITUBA,SP,2607,"22,40%",584,DRS 6
355385,TAQUARIVAI,SP,566,"18,87%",107,DRS 16
355390,TARABAI,SP,814,"21,08%",172,DRS 11
355395,TARUMA,SP,1547,"20,48%",317,DRS 9
355400,TATUI,SP,12776,"20,42%",2609,DRS 16
355410,TAUBATE,SP,35887,"22,05%",7914,DRS 17
355420,TEJUPA,SP,440,"20,11%",89,DRS 6
355430,TEODORO SAMPAIO,SP,2362,"20,30%",480,DRS 11
355440,TERRA ROXA,SP,1018,"21,49%",219,DRS 5
355450,TIETE,SP,4506,"21,00%",947,DRS 16
355460,TIMBURI,SP,361,"28,25%",102,DRS 9
355465,TORRE DE PEDRA,SP,277,"25,48%",71,DRS 6
355470,TORRINHA,SP,1135,"22,72%",258,DRS 6
355475,TRABIJU,SP,191,"21,20%",41,DRS 3
355480,TREMEMBE,SP,4906,"21,96%",1078,DRS 17
355490,TRES FRONTEIRAS,SP,746,"25,62%",192,DRS 15
355495,TUIUTI,SP,816,"23,84%",195,DRS 7
355500,TUPA,SP,8593,"25,55%",2196,DRS 9
355510,TUPI PAULISTA,SP,1909,"28,88%",552,DRS 11
355520,TURIUBA,SP,259,"26,70%",70,DRS 2
355530,TURMALINA,SP,284,"34,01%",97,DRS 15
355535,UBARANA,SP,588,"18,51%",109,DRS 15
355540,UBATUBA,SP,9970,"21,24%",2118,DRS 17
355550,UBIRAJARA,SP,515,"22,17%",115,DRS 9
355560,UCHOA,SP,1240,"24,29%",302,DRS 15
355570,UNIAO PAULISTA,SP,157,"17,56%",28,DRS 15
355580,URANIA,SP,1166,"25,62%",299,DRS 15
355590,URU,SP,169,"29,55%",50,DRS 6
355600,URUPES,SP,1774,"25,25%",448,DRS 15
355610,VALENTIM GENTIL,SP,1494,"21,94%",328,DRS 15
355620,VALINHOS,SP,16190,"23,94%",3876,DRS 7
355630,VALPARAISO,SP,2256,"19,42%",439,DRS 2
355635,VARGEM,SP,1135,"21,77%",248,DRS 7
355640,VARGEM GRANDE DO SUL,SP,4941,"22,72%",1123,DRS 14
355645,VARGEM GRANDE PAULISTA,SP,5780,"21,10%",1220,DRS 1
355650,VARZEA PAULISTA,SP,12451,"20,00%",2491,DRS 7
355660,VERA CRUZ,SP,1360,"24,69%",336,DRS 9
355670,VINHEDO,SP,8862,"21,53%",1908,DRS 7
355680,VIRADOURO,SP,2062,"21,74%",449,DRS 5
355690,VISTA ALEGRE DO ALTO,SP,686,"16,09%",111,DRS 5
355695,VITORIA BRASIL,SP,223,"25,40%",57,DRS 15
355700,VOTORANTIM,SP,12773,"20,42%",2609,DRS 16
355710,VOTUPORANGA,SP,12407,"25,29%",3138,DRS 15
355715,ZACARIAS,SP,327,"23,36%",77,DRS 15
355720,CHAVANTES,SP,1405,"22,50%",317,DRS 9
355730,ESTIVA GERBI,SP,1271,"22,22%",283,DRS 14